ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
4,Edgar Lindenau Aabye,M,34,,,Denmark/Sweden,DEN,1900 Summer,1900,Summer,Paris,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
15,Arvo Ossian Aaltonen,M,30,,,Finland,FIN,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
15,Arvo Ossian Aaltonen,M,30,,,Finland,FIN,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Men's 400 metres Breaststroke,Bronze
16,Juhamatti Tapio Aaltonen,M,28,184,85,Finland,FIN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
17,Paavo Johannes Aaltonen,M,28,175,64,Finland,FIN,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
17,Paavo Johannes Aaltonen,M,28,175,64,Finland,FIN,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Gold
17,Paavo Johannes Aaltonen,M,28,175,64,Finland,FIN,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Gold
17,Paavo Johannes Aaltonen,M,28,175,64,Finland,FIN,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
17,Paavo Johannes Aaltonen,M,32,175,64,Finland,FIN,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Team All-Around,Bronze
31234,Martin Henri Eberhardt,M,22,186,100,France,FRA,1936 Summer,1936,Summer,Berlin,Canoeing,"Canoeing Men's Folding Kayak Singles, 10 kilometres",Silver
31234,Martin Henri Eberhardt,M,34,186,100,France,FRA,1948 Summer,1948,Summer,London,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze
31236,Stephan Eberharter,M,28,180,85,Austria,AUT,1998 Winter,1998,Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Silver
31236,Stephan Eberharter,M,32,180,85,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Downhill,Bronze
31236,Stephan Eberharter,M,32,180,85,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Super G,Silver
31236,Stephan Eberharter,M,32,180,85,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Gold
31237,Elisabeth Eberl,F,24,170,69,Austria,AUT,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Javelin Throw,Silver
31238,Georg Eberl,M,23,176,85,Germany,GER,1960 Winter,1960,Winter,Squaw Valley,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
31240,Gertrd Emilia Eberle (-Kollar),F,16,153,40,Romania,ROU,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Individual All-Around,Silver
31240,Gertrd Emilia Eberle (-Kollar),F,16,153,40,Romania,ROU,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Team All-Around,Silver
31240,Gertrd Emilia Eberle (-Kollar),F,16,153,40,Romania,ROU,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Uneven Bars,Silver
31241,Ewald Eberle,M,22,176,85,Liechtenstein,LIE,1956 Winter,1956,Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Gold
31243,Hans Eberle,M,26,176,85,Germany,GER,1952 Summer,1952,Summer,Helsinki,Football,Football Men's Football,Gold
31244,Ingrid Eberle (-Trappel),F,22,160,50,Austria,AUT,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Gold
31244,Ingrid Eberle (-Trappel),F,22,160,50,Austria,AUT,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing,Alpine Skiing Women's Slalom,Gold
31248,Martin Eberle,M,33,166,75,Germany,GER,1964 Summer,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Featherweight,Silver
31250,"Verena ""Vreni"" Eberle",F,21,180,70,West Germany,FRG,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 100 metres Breaststroke,Bronze
31250,"Verena ""Vreni"" Eberle",F,21,180,70,West Germany,FRG,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 200 metres Breaststroke,Silver
31250,"Verena ""Vreni"" Eberle",F,21,180,70,West Germany,FRG,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
31251,Wolrad Eberle,M,24,179,77,Germany,GER,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's Decathlon,Bronze
31253,Bohuslav Ebermann,M,27,183,82,Czechoslovakia,TCH,1976 Winter,1976,Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
31256,Henrietta Ebert (Dobler-),F,22,177,83,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Eights,Gold
31257,Jen bert,M,21,173,70,Hungary,HUN,1968 Winter,1968,Winter,Grenoble,Figure Skating,Figure Skating Men's Singles,Bronze
31258,Julius Sophus Emil Ebert,M,21,,,Denmark,DEN,1920 Summer,1920,Summer,Antwerpen,Athletics,"Athletics Men's 10,000 metres",Silver
31259,Thomas Ebert,M,27,184,72,Denmark,DEN,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
31259,Thomas Ebert,M,31,184,72,Denmark,DEN,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
31259,Thomas Ebert,M,35,184,72,Denmark,DEN,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
31261,"Waltraud ""Traudl"" Ebert (-Rother)",F,24,,,Austria,AUT,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Women's Foil, Individual",Gold
31264,Onome Ebi,F,25,179,66,Nigeria,NGR,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Gold
31270,Masashi Ebinuma,M,22,170,66,Japan,JPN,2012 Summer,2012,Summer,London,Judo,Judo Men's Half-Lightweight,Bronze
31270,Masashi Ebinuma,M,26,170,66,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Half-Lightweight,Bronze
31277,Nate Ebner,M,27,185,98,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold
31279,Luzia Ebnther,F,30,164,69,Switzerland,SUI,2002 Winter,2002,Winter,Salt Lake City,Curling,Curling Women's Curling,Silver
31280,Faissal Ebnoutalib,M,29,184,80,Germany,GER,2000 Summer,2000,Summer,Sydney,Taekwondo,Taekwondo Men's Welterweight,Silver
31284,Asghar Ebrahimi Farbad Kamachali,M,22,170,94,Iran,IRI,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
31284,Asghar Ebrahimi Farbad Kamachali,M,26,170,94,Iran,IRI,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
31285,Mohammad Ebrahimi,M,30,160,63,Afghanistan,AFG,1968 Summer,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Featherweight, Freestyle",Bronze
31286,Saeid Ebrahimi,M,25,184,96,Iran,IRI,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
31289,Earl William Eby,M,25,179,60,United States,USA,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 800 metres,Silver
31290,Harold Kerr Eby,M,46,184,83,United States,USA,1936 Summer,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",Gold
31291,Katie Rae Ebzery,F,26,178,70,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Gold
31292,Fritz Eccard,M,27,182,86,Unknown,UNK,1912 Summer,1912,Summer,Stockholm,Art Competitions,Art Competitions Mixed Architecture,Gold
31293,Alejandro Echaniz Partida,M,22,170,70,Mexico,MEX,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Silver
31294,Paul chard,M,22,178,70,Socit Nautique de la Basse Seine-1,FRA,1906 Summer,1906,Summer,Athina,Rowing,Rowing Men's Coxed Fours,Silver
31295,Ricardo Echarte San Martn,M,25,180,81,Spain,ESP,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Half-Middleweight,Gold
31296,Fernando Echavarri Erasum,M,35,180,76,Spain,ESP,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Mixed Multihull,Gold
31296,Fernando Echavarri Erasum,M,43,180,76,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Mixed Multihull,Gold
31300,Ramn Echegaray,M,17,165,55,Venezuela,VEN,1952 Summer,1952,Summer,Helsinki,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
31301,Tmara Echegoyen Domnguez,F,28,174,70,Spain,ESP,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Three Person Keelboat,Gold
31301,Tmara Echegoyen Domnguez,F,32,174,70,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Skiff,Gold
31304,Julio Echenique Gonzlez,M,21,168,73,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Middleweight,Bronze
31308,Guillermo Echevarra Prez,M,16,175,71,Mexico,MEX,1964 Summer,1964,Summer,Tokyo,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver
31309,Ivelisse Echevarra,F,39,190,85,Puerto Rico,PUR,1996 Summer,1996,Summer,Atlanta,Softball,Softball Women's Softball,Gold
31314,Ricardo Echeverra,M,34,169,75,Chile,CHI,1952 Summer,1952,Summer,Helsinki,Equestrianism,"Equestrianism Men's Jumping, Team",Silver
