Team,Medal
Denmark/Sweden,Gold
Finland,Bronze
Finland,Bronze
Finland,Silver
Finland,Silver
Finland,Gold
Finland,Gold
Finland,Gold
Finland,Silver
France,Silver
France,Silver
Austria,Silver
Austria,Silver
Austria,Silver
Austria,Gold
Austria,Silver
Germany,Silver
Romania,Silver
Romania,Silver
Romania,Silver
Liechtenstein,Gold
Germany,Gold
Austria,Gold
Austria,Gold
Germany,Silver
West Germany,Silver
West Germany,Silver
West Germany,Silver
Germany,Silver
Czechoslovakia,Silver
East Germany,Gold
Hungary,Silver
Denmark,Silver
Denmark,Silver
Denmark,Gold
Denmark,Gold
Austria,Gold
Nigeria,Gold
Japan,Silver
Japan,Silver
United States,Gold
Switzerland,Silver
Germany,Silver
Iran,Silver
Iran,Silver
Afghanistan,Silver
Iran,Silver
United States,Silver
United States,Gold
Australia,Gold
Mexico,Silver
Spain,Gold
Spain,Gold
Spain,Gold
Venezuela,Silver
Spain,Gold
Spain,Gold
Cuba,Silver
Mexico,Silver
Puerto Rico,Gold
Chile,Silver
Colombia,Silver
Colombia,Silver
Colombia,Silver
Colombia,Gold
Colombia,Gold
Colombia,Gold
Colombia,Gold
Colombia,Gold
Colombia,Silver
United States,Gold
United States,Gold
United States,Gold
Austria,Silver
West Germany,Silver
Germany,Silver
Great Britain,Silver
United States,Silver
East Germany,Gold
East Germany,Gold
East Germany,Gold
East Germany,Gold
Germany,Silver
Norway,Silver
Norway,Gold
Norway,Silver
Norway,Silver
Norway,Silver
Hungary,Gold
Germany,Silver
Germany,Silver
Germany,Gold
Sweden,Silver
Sweden,Silver
Great Britain,Silver
Great Britain,Silver
Australia,Silver
Australia,Silver
Australia,Silver
Germany,Silver
Brazil,Gold
Austria,Silver
Austria,Silver
Austria,Silver
United States,Silver
United States,Silver
United States,Gold
United States,Gold
Great Britain,Silver
Sweden,Silver
Sweden,Silver
Sweden,Gold
Sweden,Silver
Sweden,Gold
Sweden,Gold
Brazil,Silver
Australia,Silver
Australia,Silver
United States,Silver
Australia,Silver
Brazil,Silver
Brazil,Silver
Sweden,Silver
Sweden,Silver
Sweden,Silver
Sweden,Silver
Sweden,Gold
Great Britain,Silver
Great Britain,Silver
Australia,Silver
Australia,Silver
Australia,Silver
Saint Lucia,Gold
Great Britain,Gold
Great Britain,Gold
Great Britain,Silver
Great Britain,Gold
Great Britain,Silver
Great Britain,Gold
South Africa,Silver
South Africa,Gold
Jamaica,Silver
Canada,Silver
Canada,Silver
Canada,Silver
Canada,Silver
Canada,Silver
United States,Gold
United States,Gold
United States,Silver
United States,Gold
United States,Gold
United States,Silver
France,Silver
Czechoslovakia,Silver
Czechoslovakia,Silver
Germany,Gold
West Germany,Silver
Bulgaria,Silver
Bulgaria,Gold
Greece,Silver
Norway,Silver
Greece,Silver
Japan,Silver
Japan,Silver
United States,Silver
Ireland,Silver
Japan,Gold
Japan,Gold
Nigeria,Silver
Nigeria,Silver
Venezuela,Gold
Germany,Silver
Germany,Silver
Germany-2,Silver
Hungary,Silver
Hungary,Gold
Hungary,Gold
Hungary,Gold
Hungary,Gold
Hungary,Gold
Hungary,Silver
Hungary,Silver
Hungary,Silver
Netherlands,Silver
Switzerland,Gold
Switzerland,Gold
Switzerland-2,Silver
Switzerland,Silver
Austria,Silver
Austria,Silver
Austria,Silver
East Germany,Silver
Denmark,Silver
Switzerland,Silver
Switzerland,Silver
Switzerland,Silver
Iran,Silver
Great Britain,Silver
Great Britain,Silver
Germany,Gold
Switzerland,Silver
Australia,Gold
Sweden,Silver
New Zealand,Silver
Hungary,Silver
Turkey,Silver
Nigeria,Silver
Spain,Silver
Spain,Silver
Hungary,Silver
Switzerland,Gold
Japan,Silver
Japan,Silver
West Germany,Silver
Germany,Silver
Germany,Gold
Germany,Silver
Germany-1,Silver
Switzerland,Silver
West Germany,Gold
Germany,Gold
Germany,Silver
Germany,Silver
United States,Gold
East Germany,Gold
Germany,Silver
East Germany,Silver
East Germany,Silver
West Germany,Silver
East Germany,Silver
East Germany,Silver
East Germany,Silver
East Germany,Gold
East Germany,Silver
East Germany,Silver
East Germany,Silver
Germany,Silver
Germany,Silver
Finland,Silver
Iran,Silver
East Germany,Gold
Austria,Silver
Switzerland,Silver
West Germany,Gold
Germany,Silver
Germany,Gold
East Germany,Silver
